procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3311112  31872 638788    0    0     0     0   74   84  0  0 99  0  0
 0  0    364 3311112  31872 638788    0    0     0     0   64   65  0  0 100  0  0
 0  0    364 3310980  31872 638796    0    0     0     0   67   77  0  0 100  0  0
 0  0    364 3310980  31872 638796    0    0     0     0   68   73  0  0 100  0  0
 0  0    364 3311168  31880 638804    0    0     0    12   73   87  0  0 97  2  0
 0  0    364 3311064  31880 638804    0    0     0     0   61   64  0  0 99  0  0
 0  0    364 3311104  31880 638724    0    0     0     0   72   78  0  0 100  0  0
 0  0    364 3311140  31880 638724    0    0     0     8   67   75  0  0 100  0  0
 0  0    364 3311104  31880 638724    0    0     0     0   67   76  0  0 100  0  0
 0  0    364 3311104  31888 638716    0    0     0    24   79   89  0  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3311336  31888 638724    0    0     0     0   64   77  0  0 100  0  0
 0  0    364 3311244  31888 638724    0    0     0    36   69   74  0  0 100  0  0
 0  0    364 3311352  31888 638732    0    0     0     0   66   78  0  0 100  0  0
 0  0    364 3311252  31888 638732    0    0     0     0   62   63  0  0 100  0  0
 0  0    364 3311268  31896 638740    0    0     0    12   74   85  0  0 97  3  0
 0  0    364 3311168  31896 638740    0    0     0     0   69   75  0  1 99  0  0
 0  0    364 3311268  31896 638748    0    0     0     0   74   85  0  0 100  0  0
 0  0    364 3311152  31896 638748    0    0     0     0   58   60  0  0 100  0  0
 1  0    364 3311128  31896 638756    0    0     0     0   52   62  0  0 100  0  0
 0  0    364 3311276  31904 638748    0    0     0    12   57   65  0  0 97  3  0
 0  0    364 3311564  31904 638760    0    0     0     0   64   70  0  0 99  0  0
 0  0    364 3311384  31904 638764    0    0     0     0   66   75  0  0 100  0  0
 0  0    364 3311564  31904 638768    0    0     0     0   67   72  0  1 99  0  0
 0  0    364 3311440  31904 638772    0    0     0     0   72   80  0  0 100  0  0
 0  0    364 3311192  31912 638780    0    0     0    12   68   83  0  0 97  3  0
 0  0    364 3311440  31912 638780    0    0     0     0   65   73  0  0 100  0  0
 0  0    364 3311324  31912 638784    0    0     0     0   74   84  0  0 100  0  0
 0  0    364 3311472  31912 638788    0    0     0     0   69   81  0  0 100  0  0
 0  0    364 3311472  31912 638704    0    0     0     0   69   76  0  0 100  0  0
 0  0    364 3311472  31920 638704    0    0     0    12   83   99  0  0 97  3  0
 0  0    364 3311084  31920 638704    0    0     0     0   61   66  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3311208  31920 638708    0    0     0     0   72   83  0  0 100  0  0
 0  0    364 3311208  31920 638712    0    0     0     0   66   72  0  0 100  0  0
 0  0    364 3311300  31920 638716    0    0     0     0   69   77  0  1 100  0  0
 0  0    364 3311160  31928 638716    0    0     0    12   66   81  0  0 96  3  0
 0  0    364 3311192  31928 638724    0    0     0     0   70   83  0  0 100  0  0
 0  0    364 3311192  31928 638724    0    0     0     0   75   82  0  1 100  0  0
 0  0    364 3311276  31928 638716    0    0     0     0   68   76  0  0 100  0  0
 0  0    364 3311192  31928 638716    0    0     0     0   71   66  0  0 99  0  0
 0  0    364 3311168  31936 638716    0    0     0    12   78   96  0  0 97  2  0
 0  0    364 3311068  31936 638716    0    0     0     0   63   70  0  0 100  0  0
 0  0    364 3311152  31936 638724    0    0     0     8   69   81  0  0 99  0  0
 0  0    364 3311348  31936 638724    0    0     0     0   59   69  0  0 100  0  0
 0  0    364 3311184  31936 638732    0    0     0     0   70   82  0  0 100  0  0
 0  0    364 3311160  31944 638732    0    0     0    24   80   92  0  0 97  2  0
 0  0    364 3311152  31944 638740    0    0     0     0   62   68  0  0 100  0  0
 0  0    364 3310952  31944 638740    0    0     0     0   75   86  1  0 100  0  0
 0  0    364 3311184  31944 638748    0    0     0     0   67   79  0  1 100  0  0
 0  0    364 3311076  31944 638748    0    0     0     0   64   73  0  0 100  0  0
 0  0    364 3311184  31952 638756    0    0     0    12   73   85  0  0 98  2  0
 0  0    364 3311184  31952 638756    0    0     0     0   62   68  0  0 99  0  0
 0  0    364 3311076  31952 638764    0    0     0     0   70   81  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3311224  31952 638764    0    0     0     0   70   74  0  0 100  0  0
 0  0    364 3311184  31952 638772    0    0     0     0   68   78  0  0 100  0  0
 0  0    364 3311184  31960 638764    0    0     0    12   74   83  0  0 97  3  0
 0  0    364 3311184  31960 638780    0    0     0     0   70   84  0  0 100  0  0
 0  0    364 3311332  31960 638780    0    0     0     0   71   77  0  0 100  0  0
 0  0    364 3311232  31960 638788    0    0     0     0   68   78  0  0 100  0  0
 0  0    364 3311232  31960 638788    0    0     0     0   66   67  0  0 100  0  0
 0  0    364 3311216  31968 638796    0    0     0    12   76   96  0  0 96  3  0
 0  0    364 3310912  31968 638796    0    0     0     0   58   65  0  0 99  0  0
 0  0    364 3311284  31968 638804    0    0     0     0   65   79  0  0 100  0  0
 0  0    364 3311260  31968 638804    0    0     0     0   63   66  0  0 100  0  0
 0  0    364 3311340  31968 638720    0    0     0     0   67   83  0  0 100  0  0
 0  0    364 3311340  31976 638712    0    0     0    12   72   84  0  0 97  3  0
 0  0    364 3311340  31976 638720    0    0     0     0   66   75  0  0 100  0  0
 0  0    364 3311488  31976 638720    0    0     0     0   73   78  0  0 100  0  0
 0  0    364 3311264  31976 638724    0    0     0     0   69   81  0  0 100  0  0
 0  0    364 3311412  31976 638724    0    0     0     0   63   66  0  0 100  0  0
 0  0    364 3311280  31984 638732    0    0     0    12   67   80  0  0 97  2  0
 0  0    364 3311428  31984 638732    0    0     0     0   64   68  0  0 100  0  0
 0  0    364 3311280  31984 638740    0    0     0     4   68   79  0  0 100  0  0
 0  0    364 3311428  31984 638740    0    0     0     0   65   68  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1    364 3311280  31992 638740    0    0     0    12   65   78  0  0 100  0  0
 0  0    364 3311428  31992 638740    0    0     0     0   73   79  0  0 97  2  0
 0  0    364 3311412  31992 638756    0    0     0     0   67   78  1  0 100  0  0
 0  0    364 3310900  31992 638756    0    0     0     8   75   85  0  0 100  0  0
 0  0    364 3311156  31992 638768    0    0     0     0   62   68  0  0 100  0  0
 0  0    364 3310876  31992 638768    0    0     0     0   70   79  1  0 100  0  0
 0  0    364 3311108  32000 638776    0    0     0    12   76   91  0  0 97  3  0
 0  0    364 3311312  32000 638776    0    0     0     0   67   69  0  0 100  0  0
 0  0    364 3311184  32000 638780    0    0     0     0   63   70  0  0 100  0  0
 0  0    364 3311236  32000 638780    0    0     0     0   64   67  0  0 100  0  0
 0  0    364 3311312  32000 638792    0    0     0     0   72   86  0  0 99  0  0
 0  0    364 3311244  32008 638784    0    0     0    12   74   82  0  0 96  4  0
 0  0    364 3311120  32008 638800    0    0     0     0   51   60  0  1 100  0  0
 1  0    364 3311268  32008 638800    0    0     0     0   53   65  0  0 100  0  0
 0  0    364 3311276  32008 638808    0    0     0     0   51   55  0  0 100  0  0
 0  0    364 3311128  32008 638808    0    0     0     0   68   74  0  0 99  0  0
 0  0    364 3311276  32016 638736    0    0     0    12   75   91  0  0 98  2  0
 0  1    364 3311120  32016 638736    0    0     0     0   63   64  0  0 99  0  0
 0  0    364 3311128  32016 638736    0    0     0     0   70   81  0  0 100  0  0
 0  0    364 3311112  32016 638736    0    0     0     0   65   73  0  0 100  0  0
 0  0    364 3311004  32016 638736    0    0     0     0   66   72  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3311088  32024 638736    0    0     0    12   67   81  0  0 98  2  0
 0  0    364 3311012  32024 638736    0    0     0     0   69   80  0  0 100  0  0
 0  0    364 3311088  32024 638744    0    0     0     0   80   89  0  0 100  0  0
 0  0    364 3310964  32024 638744    0    0     0     0   80   76  0  1 100  0  0
 0  0    364 3310996  32024 638752    0    0     0     0   75   74  0  0 100  0  0
 0  0    364 3310964  32032 638752    0    0     0    12   93   99  0  0 97  3  0
 0  0    364 3310996  32032 638760    0    0     0     0   77   76  0  0 100  0  0
 0  0    364 3311012  32032 638760    0    0     0     0   77   76  0  0 99  0  0
 0  0    364 3311244  32032 638768    0    0     0     0   78   76  0  0 100  0  0
 0  0    364 3311160  32032 638768    0    0     0     0   82   88  0  0 100  0  0
 0  0    364 3311252  32040 638776    0    0     0    12   86   90  0  0 97  3  0
 0  0    364 3311160  32040 638776    0    0     0     0   80   75  0  0 99  0  0
 0  0    364 3311244  32040 638784    0    0     0     8   93   87  0  0 100  0  0
 0  0    364 3311168  32040 638784    0    0     0     0   80   78  0  0 99  0  0
 0  0    364 3311120  32040 638792    0    0     0     0   76   79  0  0 100  0  0
 0  0    364 3311192  32048 638796    0    0     0    24   96   95  0  0 96  3  0
 0  0    364 3311044  32048 638800    0    0     0     0   74   68  0  0 100  0  0
 0  0    364 3311092  32048 638804    0    0     0     0   75   82  0  0 100  0  0
 0  0    364 3311284  32048 638808    0    0     0     0   72   70  0  0 100  0  0
 0  1    364 3311224  32056 638804    0    0     0    12   83   83  0  0 99  1  0
 0  0    364 3311020  32056 638816    0    0     0     0   86   85  0  1 98  2  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3311100  32056 638820    0    0     0     0   91   95  0  0 100  0  0
 0  0    364 3311028  32056 638824    0    0     0     0   77   75  0  1 100  0  0
 0  0    364 3311224  32056 638740    0    0     0     0   79   76  0  0 100  0  0
 0  0    364 3311028  32056 638740    0    0     0     0   73   70  0  1 100  0  0
 0  0    364 3311348  32064 638740    0    0     0    12   91   99  0  0 97  3  0
 0  0    364 3311152  32064 638740    0    0     0     0   80   79  0  1 100  0  0
 0  0    364 3311348  32064 638740    0    0     0     0   84   79  0  0 99  0  0
 0  0    364 3311152  32064 638744    0    0     0     0   73   73  0  0 100  0  0
 0  0    364 3311348  32064 638748    0    0     0     0   81   85  0  0 100  0  0
 0  0    364 3311152  32072 638752    0    0     0    12   88   88  0  1 97  2  0
 0  0    364 3311380  32072 638756    0    0     0     0   89   91  0  0 100  0  0
 0  0    364 3311060  32072 638760    0    0     0     0   81   79  0  0 100  0  0
 0  0    364 3311124  32072 638764    0    0     0     0   84   85  0  0 100  0  0
 0  0    364 3311068  32072 638772    0    0     0     0   77   73  0  0 100  0  0
 0  0    364 3311124  32080 638776    0    0     0    12   87   90  0  0 97  3  0
 0  0    364 3311184  32080 638780    0    0     0     0   76   71  0  0 100  0  0
 0  0    364 3311000  32080 638784    0    0     0     0   83   85  0  0 100  0  0
 0  0    364 3311184  32080 638788    0    0     0     0   74   71  0  0 100  0  0
 0  0    364 3311248  32080 638792    0    0     0     0   76   73  0  0 100  0  0
 0  0    364 3311184  32088 638796    0    0     0    12   89   93  0  0 96  3  0
 0  0    364 3311256  32088 638800    0    0     0     0   98   99  1  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3311184  32088 638804    0    0     0     8   80   77  0  0 100  0  0
 0  0    364 3311248  32088 638808    0    0     0     0   74   72  0  0 100  0  0
 0  0    364 3311184  32088 638812    0    0     0     0   76   73  0  1 100  0  0
 0  0    364 3311404  32096 638816    0    0     0    24   95  103  0  0 97  3  0
 0  0    364 3311340  32096 638820    0    0     0     0   73   71  0  0 100  0  0
 0  0    364 3311404  32096 638824    0    0     0     8   79   76  0  1 100  0  0
 0  0    364 3311340  32096 638828    0    0     0     0   74   74  0  0 100  0  0
 0  0    364 3311404  32096 638740    0    0     0     0   82   80  0  0 99  0  0
 0  0    364 3311264  32104 638740    0    0     0    12   87   87  0  0 97  3  0
 0  0    364 3311248  32104 638740    0    0     0     0   82   83  0  1 100  0  0
 0  0    364 3311388  32104 638740    0    0     0     0   68   74  0  0 99  0  0
 0  0    364 3311124  32104 638740    0    0     0     0   71   83  0  1 100  0  0
 0  0    364 3310900  32104 638752    0    0     0     0   73   78  0  0 100  0  0
 0  0    364 3310968  32112 638752    0    0     0    12   68   88  0  0 97  2  0
 0  0    364 3310580  32112 638752    0    0     0     0   64   73  0  0 100  0  0
 0  0    364 3310744  32112 638752    0    0     0     0   63   76  0  0 100  0  0
 0  0    364 3310680  32112 638752    0    0     0     0   67   75  0  0 100  0  0
 0  0    364 3310768  32112 638752    0    0     0     0   50   59  0  0 100  0  0
 1  0    364 3310736  32120 638752    0    0     0    12   63   79  0  0 98  2  0
 0  0    364 3310808  32120 638752    0    0     0     0   54   58  0  0 100  0  0
 0  0    364 3310776  32120 638752    0    0     0     0   69   73  0  0 99  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3310932  32120 638752    0    0     0     0   62   76  0  0 100  0  0
 0  0    364 3310924  32120 638752    0    0     0     0   64   68  0  0 100  0  0
 0  0    364 3310808  32128 638752    0    0     0    12  129  149  0  0 96  3  0
 0  0    364 3310892  32128 638756    0    0     0     0   65   71  0  0 99  0  0
 1  0    364 3310908  32128 638756    0    0     0     0   45   57  0  0 100  0  0
 0  0    364 3310800  32128 638760    0    0     0     0   47   43  0  0 100  0  0
 0  0    364 3310940  32128 638768    0    0     0     0   67   88  0  0 100  0  0
 0  0    364 3311072  32136 638768    0    0     0    12   75   84  0  1 97  3  0
 0  0    364 3310800  32136 638776    0    0     0     0   51   80  0  0 100  0  0
 0  0    364 3310716  32136 638784    0    0     0     0   68   74  0  0 100  0  0
 0  0    364 3310708  32136 638784    0    0     0     0   63   77  0  0 100  0  0
 0  0    364 3310712  32136 638784    0    0     0     0   70   72  0  1 100  0  0
 0  0    364 3310516  32144 638784    0    0     0    12   67   79  0  0 97  3  0
 0  0    364 3310648  32144 638784    0    0     0     0   66   74  0  0 100  0  0
 0  0    364 3310888  32144 638784    0    0     0     4   66   77  0  1 100  0  0
 0  0    364 3310896  32144 638784    0    0     0     0   66   71  0  0 100  0  0
 0  0    364 3311012  32144 638784    0    0     0     0   59   69  1  0 100  0  0
 0  0    364 3311020  32152 638788    0    0     0    12   74   82  0  0 97  3  0
 0  0    364 3311012  32152 638788    0    0     0     0   72   84  0  0 99  0  0
 0  0    364 3311020  32152 638788    0    0     0     0   64   76  0  0 100  0  0
 0  0    364 3311012  32152 638788    0    0     0     0   59   66  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1    364 3311020  32160 638780    0    0     0    12   64   76  0  0 100  0  0
 0  0    364 3311012  32160 638788    0    0     0     0   70   81  0  0 97  3  0
 0  0    364 3311052  32160 638788    0    0     0     0   68   77  0  0 99  0  0
 0  0    364 3311044  32160 638788    0    0     0     0   66   73  0  0 100  0  0
 0  0    364 3310928  32160 638792    0    0     0     0   63   72  0  0 100  0  0
 0  0    364 3310888  32160 638796    0    0     0     0   65   78  0  0 100  0  0
 0  0    364 3310928  32168 638800    0    0     0    12   78   88  0  1 96  4  0
 0  0    364 3310772  32168 638800    0    0     0     0   66   73  0  0 100  0  0
 0  0    364 3310408  32168 638812    0    0     0     0   57   64  0  1 100  0  0
 0  0    364 3310724  32168 638756    0    0     0     0   64   74  0  0 100  0  0
 0  0    364 3310920  32168 638692    0    0     0     0   62   71  0  0 100  0  0
 0  0    364 3310872  32176 638692    0    0     0    12   68   83  0  0 97  2  0
 0  0    364 3310872  32176 638692    0    0     0     0   64   71  0  0 99  0  0
 0  0    364 3310872  32176 638692    0    0     0     0   69   84  0  0 100  0  0
 0  0    364 3310920  32176 638700    0    0     0     0   56   70  0  0 100  0  0
 0  0    364 3310920  32176 638700    0    0     0     0   64   70  0  0 99  0  0
 0  0    364 3310656  32184 638708    0    0     0    12   70   81  0  0 97  2  0
 0  0    364 3310976  32184 638708    0    0     0     0   78   99  0  0 100  0  0
 0  0    364 3311076  32184 638712    0    0     0     0   61   67  0  1 100  0  0
 0  0    364 3310928  32184 638712    0    0     0     0   61   69  0  0 99  0  0
 0  0    364 3310976  32184 638720    0    0     0     0   61   65  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3310780  32192 638720    0    0     0    12   74   94  0  0 97  2  0
 0  0    364 3311076  32192 638728    0    0     0     0   71   73  0  0 100  0  0
 0  0    364 3310928  32192 638728    0    0     0     0   61   70  0  0 100  0  0
 0  0    364 3310976  32192 638736    0    0     0     8   60   65  0  0 100  0  0
 0  0    364 3310928  32192 638736    0    0     0     0   69   86  0  0 100  0  0
 0  0    364 3311076  32200 638744    0    0     0    24   72   84  0  0 97  2  0
 0  0    364 3310972  32200 638744    0    0     0     0   69   78  0  0 99  0  0
 0  0    364 3310948  32200 638744    0    0     0     0   59   65  1  0 100  0  0
 0  0    364 3311152  32200 638752    0    0     0     0   80   94  0  0 100  0  0
 0  0    364 3311216  32200 638760    0    0     0     0   61   73  0  0 100  0  0
 0  0    364 3311232  32208 638760    0    0     0    12   75   90  0  0 96  3  0
 0  0    364 3311176  32208 638764    0    0     0     0   58   68  0  0 100  0  0
 0  0    364 3311232  32208 638768    0    0     0     0   67   83  0  0 100  0  0
 0  0    364 3311084  32208 638772    0    0     0     0   64   72  0  0 100  0  0
 0  0    364 3311084  32208 638776    0    0     0     0   63   75  0  0 100  0  0
 0  0    364 3311108  32216 638780    0    0     0    12   68   81  0  0 97  3  0
 0  0    364 3311084  32216 638716    0    0     0     0   86   94  0  0 100  0  0
 0  0    364 3311108  32216 638716    0    0     0     0   58   68  0  0 100  0  0
 0  0    364 3310936  32216 638716    0    0     0     0   64   74  0  0 100  0  0
 0  0    364 3311008  32216 638716    0    0     0     0   61   68  0  0 99  0  0
 0  0    364 3311232  32224 638720    0    0     0    12   75   98  0  0 97  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3311216  32224 638724    0    0     0     0   61   68  0  0 99  0  0
 0  0    364 3311084  32224 638728    0    0     0     0   60   73  0  0 100  0  0
 0  0    364 3311100  32224 638732    0    0     0     0   61   69  0  0 99  0  0
 0  0    364 3311036  32224 638736    0    0     0     0   70   86  0  1 100  0  0
 0  0    364 3311200  32232 638740    0    0     0    12   60   81  0  0 97  3  0
 0  0    364 3311168  32232 638744    0    0     0     0   65   84  0  1 99  0  0
 0  0    364 3311168  32232 638748    0    0     0     0   62   72  0  0 100  0  0
 0  0    364 3310960  32232 638752    0    0     0     0   57   76  0  1 100  0  0
 1  0    364 3310836  32232 638760    0    0     0     0   51   64  0  0 100  0  0
 0  0    364 3310984  32240 638752    0    0     0    12   50   52  0  0 97  3  0
 0  0    364 3311148  32240 638764    0    0     0     0   64   72  0  0 100  0  0
 0  0    364 3311016  32240 638768    0    0     0     0   70   83  0  0 99  0  0
 0  0    364 3311024  32240 638772    0    0     0     8   65   72  0  0 100  0  0
 0  0    364 3311140  32240 638744    0    0     0     0   62   73  0  0 100  0  0
 0  0    364 3311024  32248 638744    0    0     0    24  121  142  0  0 96  3  0
 0  0    364 3310992  32248 638744    0    0     0     0   56   73  0  0 99  0  0
 1  0    364 3311008  32248 638748    0    0     0     0   44   53  0  0 100  0  0
 0  0    364 3311156  32248 638748    0    0     0     8   51   54  0  0 100  0  0
 0  0    364 3310908  32248 638752    0    0     0     0   64   71  0  0 99  0  0
 0  0    364 3311172  32256 638756    0    0     0    12   71   89  0  0 97  3  0
 0  0    364 3311180  32256 638760    0    0     0     0   59   67  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3311124  32256 638764    0    0     0     0   64   76  0  0 100  0  0
 0  0    364 3311056  32256 638768    0    0     0     0   67   79  0  0 99  0  0
 0  0    364 3311008  32256 638768    0    0     0     0   61   71  0  0 100  0  0
 0  0    364 3311084  32264 638760    0    0     0    12   67   78  0  0 97  3  0
 0  0    364 3310596  32264 638776    0    0     0     0   59   78  0  0 100  0  0
 0  0    364 3310428  32264 638792    0    0     0     0   68   81  0  1 100  0  0
 0  0    364 3310420  32264 638792    0    0     0     0   63   71  0  0 100  0  0
 0  0    364 3310420  32264 638792    0    0     0     0   61   66  0  0 100  0  0
 0  0    364 3310552  32272 638792    0    0     0    12   68   84  0  0 97  2  0
 0  0    364 3310584  32272 638796    0    0     0     0   68   80  0  0 100  0  0
 0  0    364 3310584  32272 638796    0    0     0     0   58   65  0  0 100  0  0
 0  0    364 3310436  32272 638796    0    0     0     0   59   66  0  0 100  0  0
 0  0    364 3310436  32272 638812    0    0     0     0   56   66  0  0 100  0  0
 0  0    364 3310400  32280 638816    0    0     0    12   78   95  0  0 97  3  0
 0  0    364 3310548  32280 638816    0    0     0     0   66   76  0  0 100  0  0
 0  0    364 3310548  32280 638816    0    0     0     0   60   68  0  0 100  0  0
 0  0    364 3310368  32280 638824    0    0     0     0   56   71  0  0 100  0  0
 0  0    364 3310392  32280 638832    0    0     0     0   66   83  0  0 100  0  0
 0  0    364 3310484  32288 638828    0    0     0    12   75   87  0  0 96  3  0
 0  0    364 3310640  32288 638840    0    0     0     0   63   74  0  0 100  0  0
 0  0    364 3310740  32288 638840    0    0     0     0   56   63  0  0 100  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  0    364 3310764  32288 638852    0    0     0     0   74   89  1  0 100  0  0
 0  0    364 3310824  32288 638852    0    0     0     0   63   64  0  0 99  0  0
 0  0    364 3311044  32296 638768    0    0     0    12   73   89  0  0 97  3  0
 0  0    364 3310896  32296 638768    0    0     0     0   62   71  0  0 100  0  0
 0  0    364 3310804  32296 638768    0    0     0     0   56   81  0  0 99  0  0
 0  0    364 3310804  32296 638768    0    0     0     8   64   72  0  0 100  0  0
 0  0    364 3310664  32296 638772    0    0     0     0   64   74  0  0 100  0  0
 0  0    364 3310672  32304 638772    0    0     0    24   68   87  0  0 97  2  0
 0  0    364 3310764  32304 638772    0    0     0     0   69   80  0  0 100  0  0
 0  0    364 3310664  32304 638772    0    0     0     0   68   74  0  0 100  0  0
 0  0    364 3310888  32304 638772    0    0     0     0   66   75  0  0 100  0  0
 0  0    364 3310804  32304 638772    0    0     0     0   67   73  0  0 99  0  0
